Dis,Terminal ID,Terminal,Time slot,Nb of releases,Nb of bike returns,Balance
Vilnius,10,10-KALNU PARKAS,20H - 21H,299,322,23
Vilnius,10,10-KALNU PARKAS,21H - 22H,166,221,55
Vilnius,10,10-KALNU PARKAS,22H - 23H,91,115,24
Vilnius,10,10-KALNU PARKAS,23H - 24H,49,57,8
Vilnius,11,11-KARALIAUS MINDAUGO,00H - 01H,51,40,-11
Vilnius,11,11-KARALIAUS MINDAUGO,01H - 02H,21,16,-5
Vilnius,11,11-KARALIAUS MINDAUGO,02H - 03H,11,13,2
Vilnius,11,11-KARALIAUS MINDAUGO,03H - 04H,5,8,3
Vilnius,11,11-KARALIAUS MINDAUGO,04H - 05H,12,10,-2
Vilnius,11,11-KARALIAUS MINDAUGO,05H - 06H,13,15,2
Vilnius,11,11-KARALIAUS MINDAUGO,06H - 07H,137,81,-56
Vilnius,11,11-KARALIAUS MINDAUGO,07H - 08H,280,361,81
Vilnius,11,11-KARALIAUS MINDAUGO,08H - 09H,430,429,-1
Vilnius,11,11-KARALIAUS MINDAUGO,09H - 10H,394,434,40
Vilnius,11,11-KARALIAUS MINDAUGO,10H - 11H,235,159,-76
Vilnius,11,11-KARALIAUS MINDAUGO,11H - 12H,231,199,-32
Vilnius,11,11-KARALIAUS MINDAUGO,12H - 13H,297,320,23
Vilnius,11,11-KARALIAUS MINDAUGO,13H - 14H,206,258,52
Vilnius,11,11-KARALIAUS MINDAUGO,14H - 15H,231,242,11
Vilnius,11,11-KARALIAUS MINDAUGO,15H - 16H,268,259,-9
Vilnius,11,11-KARALIAUS MINDAUGO,16H - 17H,326,236,-90
Vilnius,11,11-KARALIAUS MINDAUGO,17H - 18H,497,432,-65
Vilnius,11,11-KARALIAUS MINDAUGO,18H - 19H,560,477,-83
Vilnius,11,11-KARALIAUS MINDAUGO,19H - 20H,364,438,74
Vilnius,11,11-KARALIAUS MINDAUGO,20H - 21H,258,321,63
Vilnius,11,11-KARALIAUS MINDAUGO,21H - 22H,210,282,72
Vilnius,11,11-KARALIAUS MINDAUGO,22H - 23H,149,160,11
Vilnius,11,11-KARALIAUS MINDAUGO,23H - 24H,75,66,-9
Vilnius,12,12-V. KUDIRKOS A.,00H - 01H,306,175,-131
Vilnius,12,12-V. KUDIRKOS A.,01H - 02H,225,126,-99
Vilnius,12,12-V. KUDIRKOS A.,02H - 03H,165,74,-91
Vilnius,12,12-V. KUDIRKOS A.,03H - 04H,84,38,-46
Vilnius,12,12-V. KUDIRKOS A.,04H - 05H,59,25,-34
Vilnius,12,12-V. KUDIRKOS A.,05H - 06H,33,17,-16
Vilnius,12,12-V. KUDIRKOS A.,06H - 07H,246,114,-132
Vilnius,12,12-V. KUDIRKOS A.,07H - 08H,442,872,430
Vilnius,12,12-V. KUDIRKOS A.,08H - 09H,1804,2585,781
